t,dt
2003-08-18 20:03:24.700,"[0.22, 0.24, 0.22]"
2003-08-18 21:38:00.560,"[0.18, 0.22, 0.26]"
2003-08-21 06:26:22.020,"[0.16, 0.16, 0.18]"
2003-08-21 17:54:48.900,"[0.32, 0.28, 0.26]"
2003-08-22 05:02:59.120,"[0.32, 0.3, 0.32]"
2003-08-23 15:38:32.960,"[0.34, 0.3, 0.28]"
2003-08-24 09:06:10.660,"[0.36, 0.38, 0.4]"
2003-08-29 13:32:55.320,"[0.34, 0.32, 0.32]"
2003-09-10 09:19:07.140,"[0.2, 0.22, 0.26]"
2003-10-21 20:22:31.660,"[0.44, 0.48, 0.5]"
2003-10-22 06:46:14.000,"[0.44, 0.44, 0.4]"
2003-10-22 06:46:43.460,"[0.34, 0.34, 0.32]"
2003-10-30 00:48:44.580,"[0.14, 0.14, 0.18]"
2003-11-01 00:01:22.660,"[0.48, 0.44, 0.46]"
2003-11-08 00:40:13.140,"[0.22, 0.22, 0.2, 0.22, 0.2]"
2003-11-11 12:32:59.040,"[0.28, 0.28, 0.32]"
2003-11-13 14:26:59.640,"[0.36, 0.34, 0.32]"
2003-11-13 19:12:51.340,"[0.22, 0.22, 0.26]"
2003-11-14 13:01:30.120,"[0.36, 0.32, 0.34]"
2003-11-14 20:24:47.200,"[0.16, 0.2, 0.22]"
2003-11-16 10:40:22.740,"[0.2, 0.24, 0.28]"
2003-11-16 15:27:04.440,"[0.48, 0.52, 0.56]"
2003-11-17 15:04:06.340,"[0.14, 0.18, 0.16, 0.12]"
2003-11-17 16:08:28.580,"[0.24, 0.28, 0.26]"
2003-11-22 20:33:15.360,"[0.26, 0.26, 0.22]"
2003-11-23 06:26:05.820,"[0.5, 0.46, 0.5, 0.46]"
