t,per,tb,L,MLT,lat,lon,eye
2002-04-18 12:14:58.840,0.1667,0.4807,3.79,21.248,64.136,140.311,2
2002-04-19 02:19:02.180,0.58,0.5134,4.141,11.724,65.658,144.646,1
2002-04-20 05:33:57.660,0.22,0.4151,3.391,21.307,48.233,-114.87,2
2002-08-03 08:00:00.120,0.4,0.6287,4.974,7.081,-66.564,18.905,1
2002-08-21 03:40:40.380,0.1467,0.584,4.523,4.566,-58.857,40.831,0
2002-08-21 04:42:46.500,0.12,0.7546,5.06,5.149,63.239,-5.845,0
2002-09-01 01:00:13.000,0.34,0.543,4.478,3.134,-54.979,56.265,1
2002-09-07 20:04:25.580,0.2933,0.373,3.279,3.347,-42.019,111.543,1
2002-09-12 08:55:11.260,0.2067,0.6114,4.846,0.986,53.664,-109.763,2
2002-09-13 07:06:14.320,0.3667,0.5567,4.622,1.78,50.21,-83.101,1
2002-09-17 09:50:26.840,0.5133,0.6057,4.92,5.272,-76.085,-86.169,2
2002-10-01 17:14:34.880,0.68,0.8222,4.25,23.948,-46.298,105.647,2
2002-10-04 07:05:15.880,0.22,0.4435,3.63,2.263,-70.032,-92.383,2
2002-10-04 11:45:05.380,0.4667,0.4038,3.442,1.587,-51.761,-175.849,1
2002-10-04 11:46:06.320,0.22,0.55,4.206,1.935,-55.781,-174.395,2
2002-10-05 18:36:50.880,0.3133,0.4801,4.026,11.574,49.324,-102.383,0
2002-10-08 04:28:20.100,0.1333,0.4182,3.538,0.697,-70.537,-60.823,2
2002-10-14 06:05:08.620,0.14,0.576,4.379,1.412,-73.383,-92.761,2
2002-10-27 13:34:13.580,0.105,0.5989,4.757,20.539,-47.794,107.0,0
2002-10-29 11:41:04.640,0.46,0.5983,4.917,7.224,-75.474,-92.594,1
2002-10-30 00:14:24.480,0.08,0.7272,5.32,21.347,-76.512,-29.738,0
2002-11-25 15:56:52.500,0.5533,0.4949,4.157,4.366,61.796,-162.912,1
2002-12-01 09:28:59.840,0.38,0.636,5.202,4.573,52.042,-82.949,2
2002-12-01 12:40:33.400,0.2267,0.7059,5.306,3.482,58.746,-127.979,2
2002-12-20 20:10:39.980,0.6933,0.6672,5.451,10.318,59.447,-129.254,2
2003-01-02 07:36:40.200,0.2867,0.7928,5.914,23.969,-67.275,-152.995,2
2003-01-25 12:35:41.980,0.1867,0.743,5.918,6.728,54.171,-87.529,2
2003-02-01 20:25:01.320,0.34,0.6459,5.137,8.169,-53.758,163.09,1
2003-02-12 16:30:02.560,0.1867,0.5818,4.617,2.781,66.64,167.748,1
2003-02-17 14:56:57.820,0.38,0.6397,5.176,1.842,67.248,-179.968,1
2003-02-27 14:00:29.260,0.2267,0.5751,4.612,5.973,-64.144,-148.579,2
