,t,per,tb,L,MLT,lat,lon,shapes,final_eye
64,2000-10-04 20:19:16.660,0.125,0.5898,4.368,4.838,-46.482,124.592,,3.0
65,2000-10-05 03:49:54.660,0.52,0.7347,4.728,4.031,61.431,-13.203,,3.0
66,2000-10-05 11:52:43.200,0.4133,0.4022,3.369,2.671,51.373,-129.552,decr,1.0
67,2000-10-05 17:10:07.040,0.3467,0.8341,5.148,6.458,-55.995,173.767,,2.0
68,2000-10-14 10:51:27.920,0.0733,0.5437,4.29,6.158,-72.793,-93.837,,3.0
69,2000-10-14 15:32:38.320,0.2467,0.3818,3.328,4.757,-49.187,176.978,other,1.5
70,2000-10-14 15:33:51.580,0.245,0.5158,4.121,5.09,-53.477,178.319,decr,1.0
71,2000-10-14 18:58:25.000,0.09,0.8194,5.646,14.069,-76.603,-102.491,,3.0
72,2000-10-21 05:57:24.820,0.28,0.2015,2.085,2.601,-54.678,-50.609,other,1.5
73,2000-10-22 19:47:46.040,0.1867,0.5816,4.55,0.69,65.584,67.766,other,1.5
74,2000-10-25 11:46:41.520,0.2733,0.6569,5.094,23.328,66.718,-178.525,,3.0
75,2000-10-29 05:59:25.220,0.22,0.4262,3.632,2.596,-70.856,-54.542,,2.5
76,2000-10-29 05:59:28.440,0.32,0.4369,3.696,2.617,-71.192,-54.053,crown,1.5
77,2000-10-29 09:10:34.680,0.24,0.4284,3.633,3.984,-68.329,-105.945,,2.5
78,2000-11-06 10:40:02.900,0.3067,0.5522,4.433,3.118,-62.988,-149.833,decr,1.5
79,2000-11-06 10:41:20.860,0.09,0.7976,5.409,3.71,-67.587,-146.053,,3.0
80,2000-11-06 16:58:52.840,0.28,0.5062,3.993,23.89,-45.194,106.683,,2.5
81,2000-11-07 04:17:46.740,0.3333,0.4574,3.766,1.066,-71.342,-46.778,crown,1.0
82,2000-11-07 04:18:19.380,0.24,0.5371,4.126,1.169,-73.008,-43.967,,3.0
83,2000-11-08 13:14:27.460,0.0867,0.6176,4.736,22.102,67.558,129.744,,3.0
84,2000-11-12 10:45:17.900,0.5467,0.5223,4.441,8.33,-73.318,-29.49,crown,1.5
85,2000-11-28 20:41:08.540,0.35,0.5956,4.693,8.608,63.886,-165.578,,3.0
86,2000-12-08 02:19:09.440,0.12,0.7345,5.44,4.4,-57.628,60.123,,3.0
87,2001-01-23 15:25:35.280,0.1067,0.6969,5.17,0.295,-49.299,131.189,,3.0
88,2001-03-20 02:41:25.160,0.6133,0.9057,5.289,4.439,65.921,18.523,decr,1.5
89,2001-03-20 14:28:37.280,0.0733,0.556,4.162,8.285,-69.398,-117.214,,3.0
90,2001-03-24 06:18:44.180,0.26,0.6192,4.684,4.459,-69.988,-1.507,,2.0
91,2001-03-29 02:17:09.580,0.22,0.6287,4.941,3.442,64.18,7.574,,2.0
92,2001-03-29 02:49:51.740,0.5467,0.4717,4.033,3.139,-58.205,30.639,crown,1.0
93,2001-03-29 07:07:32.680,0.365,0.591,4.8,3.897,53.423,-59.203,,3.0
94,2001-03-31 00:35:41.620,0.0667,0.5561,4.437,2.938,63.936,29.155,,2.5
95,2001-03-31 01:07:42.080,0.9867,0.5489,4.462,2.77,-55.955,51.058,,3.0
96,2001-04-01 08:36:04.940,0.1533,0.5525,4.161,2.865,48.298,-85.734,,2.0
97,2001-04-02 18:34:15.040,0.34,0.7273,5.185,4.588,-50.413,141.482,,2.0
98,2001-04-05 12:08:53.700,0.2867,0.6611,5.214,6.769,-75.236,-104.255,,2.0
99,2001-04-07 05:38:19.980,0.2933,0.5258,4.356,3.127,-71.156,-18.532,other,1.5
