,t,per,tb,L,MLT,lat,lon,shapes,final_eye,pl1,dt,T05,OP,SL,T89,OM
23,2000-11-12 10:45:17.900,0.5467,0.5223,4.441,8.33,-73.318,-29.49,crown,1.5,0.8283873529411766,"[0.54, 0.54, 0.56]",0.522260212153432,0.5119175041639422,0.5112291633239575,0.5103480932748712,0.5224893648908036
24,2001-03-20 02:41:25.160,0.6133,0.9057,5.289,4.439,65.921,18.523,decr,1.5,1.0,"[0.6, 0.64, 0.6]",0.9055269535652573,0.6512877421265789,0.6429652577986025,0.639155117812112,0.7203788561488484
25,2001-03-29 02:49:51.740,0.5467,0.4717,4.033,3.139,-58.205,30.639,crown,1.0,0.2928762156862745,"[0.56, 0.54, 0.54]",0.4717658788120755,0.4616411901593226,0.4593090644784533,0.4608597467476482,0.4726133750120333
26,2001-04-07 05:38:19.980,0.2933,0.5258,4.356,3.127,-71.156,-18.532,other,1.5,0.5439090931372548,"[0.28, 0.28, 0.32]",0.5259028511586348,0.5086640382008214,0.5081788756866833,0.5057038739191337,0.5214370937006004
27,2001-04-07 08:16:58.000,0.1,0.5977,4.862,1.683,51.498,-94.454,decr,1.0,0.9167176470588236,"[0.12, 0.1, 0.08]",0.5976663601375781,0.5761443686964045,0.5754283167616063,0.5687186322802686,0.5871505331699722
28,2001-04-08 02:22:04.920,0.2933,0.6285,5.053,1.869,-65.988,22.511,half,1.0,0.2416813137254902,"[0.32, 0.28, 0.28]",0.6285800607948124,0.6182240337030545,0.6123341669843094,0.6082629905281162,0.6272514322981365
29,2001-04-09 09:45:45.740,0.38,0.5266,4.375,0.656,54.526,-122.142,crown,1.0,0.8754558823529411,"[0.36, 0.38, 0.4]",0.5265823533281332,0.5065430569735975,0.5059646636999205,0.5037264209574304,0.5264256811175898
30,2001-04-11 00:27:04.540,0.1867,0.1696,1.816,2.02,-30.204,30.951,crown,1.0,0.4062179999999999,"[0.2, 0.2, 0.16]",0.169631909031484,0.1694592937135001,0.182883938022518,0.1696494112425306,0.1697165133125568
31,2001-04-11 00:27:58.000,0.24,0.19,1.964,1.971,-33.567,31.411,crown,1.0,0.4808044117647056,"[0.24, 0.26, 0.24, 0.22, 0.24]",0.1900063525758181,0.1896619464179941,0.2000594745663735,0.1900269081511965,0.1901598058117669
32,2001-04-12 10:09:29.340,0.4867,0.4676,3.743,4.731,-69.856,-98.904,crown,1.5,1.0,"[0.52, 0.48, 0.46]",0.4676859087400125,0.4231165199183426,0.4274709581720227,0.4230124864387491,0.4601655088733682
33,2001-04-13 10:09:23.420,0.3667,0.932,5.931,5.845,-79.253,-73.917,half,1.5,1.0,"[0.38, 0.34, 0.38]",0.9320699924015328,0.7486150606315174,0.7431614303940254,0.7463770191417353,0.7261007704112925
34,2001-06-10 06:35:47.000,0.5267,0.581,4.689,3.066,-75.574,-45.222,decr,1.5,0.9015397058823532,"[0.54, 0.52, 0.52]",0.5810180567300727,0.5616635045677197,0.5592804258789874,0.5548465020122825,0.5676738051187669
35,2001-06-11 03:20:59.420,0.3867,0.7617,5.86,1.82,-73.361,7.065,half,1.5,0.5928426519607842,"[0.36, 0.4, 0.4]",0.7616271038286234,0.762022039834831,0.7512699960956587,0.737820877540105,0.7424811518327424
36,2001-06-27 03:49:15.420,0.3733,0.5426,4.468,0.758,-73.872,-34.19,decr,1.0,0.528724911764706,"[0.34, 0.38, 0.4]",0.5425706936306457,0.5262336861088969,0.5245941436529069,0.5234874312055289,0.5257014033129191
37,2001-09-29 18:26:05.600,0.3867,0.6324,4.983,3.613,-48.873,131.283,crown,1.5,1.0,"[0.38, 0.38, 0.4]",0.632351470203846,0.5923650458377177,0.5904867092092025,0.5834049002433696,0.6105452629311363
38,2001-10-22 17:16:25.860,0.2133,0.3645,3.092,22.73,58.81,77.561,crown,1.0,0.6563532401960783,"[0.2, 0.22, 0.22]",0.3644485298321932,0.3401705915563958,0.3432439428093147,0.3427092392013881,0.3556986472025228
39,2002-01-11 09:51:23.420,0.34,0.5668,4.491,0.269,56.846,-131.35,crown,1.0,0.4133627499999999,"[0.32, 0.36, 0.34]",0.5669756550213569,0.5209857582339207,0.522373172648715,0.5193829133764822,0.5353583711473598
40,2002-02-09 21:59:17.900,0.61,0.6418,5.35,9.875,-54.762,164.398,crown,1.5,0.7848472794117647,"[0.6, 0.6, 0.6, 0.64]",0.6418455310090457,0.6292177736935834,0.6266798312790881,0.6240323806740922,0.6297060752210304
41,2002-04-18 03:20:46.540,0.26,0.4499,3.694,0.018,-70.536,-43.196,crown,1.0,0.3431039460784313,"[0.26, 0.26, 0.26]",0.4498464877896531,0.4151478874909667,0.4186756354960089,0.4159471875677312,0.4334961544547797
42,2002-04-18 04:56:26.520,0.2267,0.4724,3.829,0.876,-72.28,-64.448,decr,1.0,0.201564137254902,"[0.22, 0.24, 0.22]",0.4723691032114274,0.4359331531749213,0.4393983444521223,0.4360244388984221,0.4602988717594605
43,2002-04-18 07:15:43.720,0.48,0.4369,3.567,11.906,61.43,68.835,crown,1.0,0.6905156078431373,"[0.46, 0.48, 0.5]",0.4369938572798165,0.400855197855257,0.4037090620203115,0.4007037990234283,0.428358659123906
44,2002-04-19 02:19:02.180,0.58,0.5134,4.141,11.724,65.658,144.646,decr,1.0,0.739723617647059,"[0.56, 0.58, 0.6]",0.5134827790993448,0.4769816508032996,0.4778935413761996,0.4751945051123876,0.4972821531491182
