,T05,OP,SL,T89,OM
0,0.6197167373697432,0.5312654923977428,0.5271547348727178,0.5277461549584783,0.5863401972236201
1,0.5491413184892827,0.5457134259772544,0.5447032465425917,0.5409285010387341,0.559468017954
2,0.7863842896660325,0.7743853413324943,0.7662693323073355,0.7481061292083748,0.7240578457200508
3,0.4719428652869972,0.45229867778682364,0.45048423076764815,0.451831622834014,0.46552934315677746
4,0.5628757851836447,0.5538380250719592,0.5533380934334945,0.5489350152553982,0.5546036130778185
5,0.6520329583563207,0.5988122905099228,0.5969716318347639,0.5934716070227395,0.6261379950712624
6,0.6201491499555577,0.5861648642949011,0.5839291748968612,0.579125801558193,0.6127279787586233
7,0.5726819994639507,0.5480086850201361,0.5463789394263481,0.5459209329739831,0.5624275717527472
8,0.5767814428868971,0.5549136892879993,0.5546137060739286,0.5521155517067999,0.5656668358651132
9,0.8542761421627768,0.7320885433291178,0.7214493300554735,0.7104946280937396,0.7315396712902673
10,0.49432673742196215,0.4798695147153784,0.4772209681304007,0.47807125253072985,0.4866309591948115
11,0.6041996022193923,0.5857234768680513,0.5836386082713033,0.5813051560743515,0.5934402746410115
12,0.1821553090309954,0.1819022135058092,0.1941178872999155,0.18221998534829942,0.18218569739517826
13,0.5887009542675962,0.5760869157217872,0.5740324620739896,0.5703265975917964,0.5947626970033144
14,0.3606098521268989,0.3476304547036216,0.34888301622991535,0.3487363884778942,0.3573184965647306
15,0.4022739490660824,0.36975540656782474,0.37262900696545254,0.3725685716849006,0.3885615349922624
16,0.38178986004182935,0.3687980309711629,0.3713212176386182,0.3695521886709634,0.3814322489642232
17,0.5157904409159257,0.47546113304665283,0.47578254685753374,0.47383170551409554,0.507438779741599
18,0.20152061476166108,0.20112128681691865,0.2149874316458309,0.2018569870353037,0.2016895813771893
19,0.5816568485190493,0.5437846870726788,0.5404759324048949,0.5392644868474966,0.5568921410078842
20,0.43688658467696195,0.4146280653979915,0.4185109909189462,0.41530783556236267,0.44029395971378643
21,0.5521143458467073,0.5243071786517872,0.5254691384625836,0.5203579772642413,0.5310878043271761
22,0.45733891594580345,0.42617509155724154,0.4295063292855428,0.42669980988250683,0.45820688232522044
23,0.522260212153432,0.5119175041639422,0.5112291633239575,0.5103480932748712,0.5224893648908036
24,0.9055269535652571,0.6512877421265789,0.6429652577986025,0.639155117812112,0.7203788561488484
25,0.4717658788120755,0.4616411901593226,0.4593090644784533,0.46085974674764824,0.4726133750120333
26,0.5259028511586348,0.5086640382008214,0.5081788756866833,0.5057038739191337,0.5214370937006004
27,0.5976663601375781,0.5761443686964045,0.5754283167616063,0.5687186322802686,0.5871505331699722
28,0.6285800607948124,0.6182240337030545,0.6123341669843094,0.6082629905281162,0.6272514322981365
29,0.5265823533281332,0.5065430569735975,0.5059646636999205,0.5037264209574304,0.5264256811175898
30,0.16963190903148403,0.16945929371350016,0.18288393802251804,0.16964941124253063,0.1697165133125568
31,0.19000635257581816,0.1896619464179941,0.20005947456637357,0.19002690815119655,0.1901598058117669
32,0.46768590874001253,0.4231165199183426,0.4274709581720227,0.42301248643874917,0.4601655088733682
33,0.9320699924015327,0.7486150606315174,0.7431614303940254,0.7463770191417353,0.7261007704112925
34,0.5810180567300727,0.5616635045677197,0.5592804258789874,0.5548465020122825,0.5676738051187669
35,0.7616271038286234,0.762022039834831,0.7512699960956587,0.737820877540105,0.7424811518327424
36,0.5425706936306457,0.5262336861088969,0.5245941436529069,0.5234874312055289,0.5257014033129191
37,0.632351470203846,0.5923650458377177,0.5904867092092025,0.5834049002433696,0.6105452629311363
38,0.3644485298321932,0.3401705915563958,0.34324394280931475,0.3427092392013881,0.3556986472025228
39,0.5669756550213569,0.5209857582339207,0.522373172648715,0.5193829133764822,0.5353583711473598
40,0.6418455310090457,0.6292177736935834,0.6266798312790881,0.6240323806740922,0.6297060752210304
41,0.4498464877896531,0.41514788749096676,0.41867563549600895,0.4159471875677312,0.4334961544547797
42,0.4723691032114274,0.4359331531749213,0.43939834445212234,0.4360244388984221,0.4602988717594605
43,0.4369938572798165,0.400855197855257,0.40370906202031154,0.40070379902342834,0.428358659123906
