,t,pk,w,s,y,sh
26,2003-10-16 09:04:34,"[1, 2, 3, 4, 5]","[0.079, 0.0657, 0.0655, 0.0803, 0.082]","[0.222229, 0.231333, 0.212326, 0.221486, None]",1,"decr"
27,2003-11-08 00:40:13,"[1, 2, 3, 4, 5, 6, 7]","[0.0676, 0.0359, 0.0353, 0.0353, 0.0353, 0.0662, 0.0729]","[0.226571, 0.214292, 0.210568, 0.213667, 0.211121, 0.215816, None]",0,"crown"
28,2003-11-08 00:40:19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0.0798, 0.0622, 0.0353, 0.0353, 0.0353, 0.0353, 0.0353, 0.0353, 0.0386, 0.0372]","[0.200521, 0.205034, 0.205547, 0.203366, 0.199722, 0.190555, 0.195375, 0.195032, 0.189477, None]",1,"crown"
29,2003-11-27 21:51:42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[0.1195, 0.0641, 0.0479, 0.0551, 0.0704, 0.0895, 0.066, 0.054, 0.0727, 0.0594, 0.0905, 0.0667]","[0.227942, 0.243786, 0.243661, 0.235743, 0.230982, 0.224356, 0.224685, 0.220665, 0.220691, 0.214102, 0.223679, None]",1,"crown"
30,2003-12-18 18:30:24,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.0733, 0.0662, 0.0614, 0.0581, 0.0625, 0.0613, 0.0612, 0.0731, 0.0645, 0.0676]","[0.211627, 0.201471, 0.209365, 0.205796, 0.200952, 0.200064, 0.192, 0.19841, 0.193548, None]",1,"crown"
31,2004-01-27 10:17:56,[],[],[],0,"unclear"
32,2004-11-14 06:26:26,"[3, 4, 5, 6, 7, 8, 9]","[0.0353, 0.0353, 0.0383, 0.0353, 0.0353, 0.0403, 0.0405]","[0.241237, 0.240825, 0.238777, 0.219269, 0.227081, 0.223023, None]",1,"unclear"
33,2004-12-17 05:00:18,"[1, 2, 3, 4, 5, 6, 7]","[0.0406, 0.0379, 0.048, 0.0544, 0.0562, 0.0617, 0.057]","[0.189388, 0.191163, 0.189602, 0.187313, 0.19065, 0.192638, None]",1,"crown"
34,2005-02-16 07:31:35,"[3, 4, 5, 6, 7]","[0.0439, 0.0387, 0.0584, 0.0599, 0.0638]","[0.249944, 0.254303, 0.240705, 0.24204, None]",0,"unclear"
35,2005-02-16 07:32:14,"[3, 4, 5, 6, 7]","[0.0633, 0.0613, 0.0504, 0.0524, 0.0496]","[0.201227, 0.212234, 0.209922, 0.204418, 0.214339]",1,"unclear"
36,2005-03-08 06:09:06,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.0666, 0.0353, 0.0353, 0.0353, 0.0353, 0.039, 0.0353, 0.0438, 0.0353]","[0.163204, 0.162248, 0.157291, 0.15592, 0.151305, 0.153987, 0.15487, 0.154201, None]",1,"crown"
37,2005-06-18 10:58:15,"[1, 2, 3, 4, 5, 6]","[0.1035, 0.0515, 0.0414, 0.0353, 0.0392, 0.0422]","[0.249833, 0.260594, 0.253462, 0.250415, 0.25075, None]",1,"unclear"
38,2005-06-19 13:59:04,"[1, 2, 3, 4]","[0.0353, 0.0363, 0.0579, 0.0562]","[0.273703, 0.264794, 0.24456, None]",1,"crown"
39,2005-09-12 02:35:43,"[8, 9]","[0.0726, 0.0743]","[0.265603, None]",1,"unclear"
40,2005-10-08 22:47:27,"[5, 6, 7, 8, 9, 10, 11]","[0.0353, 0.0353, 0.0461, 0.0359, 0.0656, 0.0672, 0.0826]","[0.212342, 0.21515, 0.211345, 0.215569, 0.228177, 0.221317, None]",1,"unclear"
