,start,end
99,2012-02-17 04:57:07.260,2012-02-23 23:23:56.300
100,2012-02-26 01:30:07.380,2012-03-05 23:42:54.400
101,2012-03-06 00:14:35.300,2012-03-16 23:40:51.000
102,2012-03-17 01:57:28.500,2012-04-04 23:32:49.540
103,2012-04-07 01:37:40.120,2012-04-20 05:20:11.840
104,2012-04-20 06:07:23.260,2012-05-19 10:34:10.140
105,2012-05-22 02:43:58.120,2012-06-05 16:02:32.840
106,2012-06-05 17:21:15.080,2012-06-19 22:42:04.520
107,2012-06-22 00:27:46.100,2012-07-12 22:48:27.380
108,2012-07-21 00:42:07.520,2012-08-02 22:51:14.460
109,2012-08-05 06:30:27.680,2012-08-11 20:25:03.040
110,2012-08-14 01:44:34.480,2012-08-16 22:05:51.260
111,2012-08-22 00:07:31.440,2012-09-01 11:58:22.900
112,2012-09-11 04:24:33.720,2012-10-10 23:59:50.920
113,2012-10-11 01:01:20.280,2012-10-14 13:21:51.800
114,2012-10-17 01:13:12.680,2012-10-22 23:48:30.720
115,2012-10-23 17:48:37.180,2012-10-26 22:06:53.500
116,2012-11-01 06:00:00.960,2012-11-02 22:54:19.640
