,t,w,s,s_err
64,2000-09-30 10:43:54.920,[],[],[]
65,2000-10-05 10:44:42.420,[],[],[]
66,2000-10-09 01:04:35.820,[],[],[]
67,2000-10-10 01:05:24.720,[],[],[]
68,2000-10-10 01:05:27.740,[],[],[]
69,2000-10-10 01:06:11.640,[],[],[]
70,2000-10-21 05:57:25.020,"[0.0712, 0.1168, 0.0878]","[0.26859, 0.277692]","[0.0037, 0.0049]"
71,2000-10-22 05:57:06.520,"[0.0488, 0.0483, 0.0353]","[0.246689, 0.24161]","[0.0034, 0.0036]"
72,2000-10-24 07:32:55.960,[],[],[]
73,2000-10-27 05:56:00.100,[],[],[]
74,2000-11-21 19:53:28.240,[],[],[]
75,2000-12-01 22:57:14.740,[],[],[]
76,2000-12-05 18:01:09.500,"[0.0698, 0.0798]",[0.304792],[0.0059]
77,2000-12-08 17:54:39.440,"[0.0462, 0.0462, 0.0423, 0.0441]","[0.203555, 0.203965, 0.199857]","[0.0018, 0.0036, 0.004]"
78,2000-12-08 17:55:24.480,"[0.089, 0.0828, 0.0809, 0.0683, 0.0785]","[0.233476, 0.243309, 0.229036, 0.233335]","[0.0044, 0.0036, 0.004, 0.007]"
79,2000-12-17 16:06:48.420,[],[],[]
80,2000-12-23 03:38:35.740,"[0.0523, 0.0353, 0.0402]","[0.266406, 0.258635]","[0.0024, 0.0014]"
81,2000-12-30 15:46:21.720,"[0.0641, 0.0926]",[0.818867],[0.0065]
82,2001-02-08 21:17:24.440,"[0.0531, 0.069, 0.0866]","[0.226761, 0.231991]","[0.0056, 0.0069]"
83,2001-02-28 07:11:45.840,[],[],[]
84,2001-03-24 07:49:43.160,[],[],[]
85,2001-03-25 02:56:35.780,[],[],[]
86,2001-04-04 02:25:29.020,[],[],[]
87,2001-04-08 00:39:07.780,"[0.0646, 0.0427, 0.0594, 0.0462]","[0.304465, 0.310592, 0.311814]","[0.0024, 0.0019, 0.0047]"
88,2001-04-12 00:23:27.580,"[0.0395, 0.0353, 0.0353, 0.0415]","[0.180792, 0.182412, 0.179433]","[0.0031, 0.0028, 0.003]"
89,2001-04-12 00:24:33.740,"[0.0898, 0.0931]",[0.233437],[0.004]
90,2001-04-25 07:45:57.740,[],[],[]
91,2001-04-25 22:03:01.920,[],[],[]
92,2001-05-22 18:43:45.860,[],[],[]
93,2001-08-30 04:59:17.680,"[0.0558, 0.0597, 0.0617, 0.0353]","[0.270979, 0.267262, 0.25056]","[0.002, 0.0031, 0.0023]"
94,2001-10-21 22:34:31.380,"[0.0353, 0.0752, 0.0796]","[0.243969, 0.247697]","[0.0057, 0.0047]"
95,2001-11-10 01:16:01.540,"[0.067, 0.1049, 0.0917, 0.0805]","[0.248882, 0.243322, 0.233272]","[0.0065, 0.0053, 0.0048]"
96,2001-11-14 10:40:31.900,"[0.0561, 0.0762]",[0.217807],[0.0065]
97,2001-11-23 04:51:27.320,"[0.0642, 0.086]",[0.232218],[0.0059]
