,lon,lat,alt,L,B,MLT,losscone1,losscone2,pitch,SAA,att,counts,Beq
2000-07-27 07:38:22.480,-85.545,33.36,587.377,2.187,0.386,1.806,61.491,71.865,126.979,0,1,504.0,0.028
2000-07-27 07:38:37.640,-85.411,34.283,588.668,2.261,0.39,1.82,61.52,71.6,127.897,0,1,944.0,0.026
2000-08-18 18:48:59.080,47.759,-41.008,597.373,2.492,0.281,21.107,64.34,64.34,83.469,0,0,1312.0,0.02
2000-08-18 18:49:51.000,48.325,-37.842,599.884,2.258,0.277,21.272,64.34,64.34,85.065,0,0,172.0,0.026
2000-08-22 03:11:49.980,-71.619,35.044,639.082,2.306,0.373,22.816,60.314,84.714,115.656,0,1,122.0,0.025
2000-08-26 07:13:51.780,39.291,-35.0,515.271,2.039,0.255,9.07,68.129,68.129,89.178,1,0,1248.0,0.036
2000-08-30 01:15:42.240,-76.356,-53.875,629.063,1.923,0.271,20.565,60.695,60.695,111.423,0,0,1568.0,0.043
2000-09-06 17:25:11.800,31.673,-32.704,648.224,1.945,0.229,18.979,66.317,66.317,87.359,1,0,1888.0,0.042
2000-09-10 22:08:19.780,-55.176,-56.587,655.33,2.164,0.253,18.393,60.879,60.879,89.322,0,0,976.0,0.03
2000-09-10 22:08:38.820,-54.714,-55.462,655.313,2.098,0.248,18.412,61.01,61.01,84.818,1,0,2112.0,0.033
2000-09-13 05:44:08.380,23.617,-29.077,561.02,1.779,0.226,6.879,68.395,68.395,88.124,1,0,2240.0,0.055
2000-09-15 04:09:40.120,43.871,-32.164,573.728,1.905,0.26,6.521,65.889,65.889,87.332,1,0,164.0,0.045
2000-09-17 15:53:48.620,32.212,-31.798,637.818,1.902,0.23,17.535,66.452,66.452,87.168,1,0,1952.0,0.045
2000-09-21 04:12:42.580,31.554,-35.854,603.604,2.097,0.233,5.721,67.255,67.255,87.876,1,0,1248.0,0.034
2000-09-22 12:18:10.980,-86.97,-54.068,635.296,1.958,0.29,7.205,60.287,60.287,87.762,0,0,6272.0,0.04
2000-09-24 10:43:29.000,-66.133,-56.531,643.527,2.09,0.266,6.561,60.628,60.628,87.717,0,0,3648.0,0.033
2000-09-30 10:43:54.920,-80.562,-52.06,650.743,1.843,0.268,5.994,60.064,60.064,87.546,0,0,1248.0,0.048
2000-10-05 10:44:42.420,-91.355,-51.261,655.021,1.838,0.286,5.561,59.727,59.727,87.403,0,0,4992.0,0.048
2000-10-09 01:04:35.820,41.649,-35.075,646.649,2.075,0.251,3.256,64.474,64.474,86.685,1,0,1120.0,0.034
2000-10-10 01:05:24.720,40.055,-37.995,648.879,2.248,0.25,3.076,64.52,64.52,88.751,1,0,376.0,0.027
2000-10-10 01:05:27.740,40.086,-38.177,648.975,2.26,0.25,3.073,64.497,64.497,88.883,1,0,376.0,0.027
2000-10-10 01:06:11.640,40.556,-40.814,650.287,2.444,0.255,3.021,64.142,64.142,87.843,1,0,1568.0,0.021
2000-10-21 05:57:25.020,-50.473,-55.037,629.655,2.105,0.245,2.61,61.954,61.954,94.152,1,0,4224.0,0.033
2000-10-22 05:57:06.520,-52.571,-54.773,626.521,2.072,0.246,2.52,61.92,61.92,90.442,1,0,2112.0,0.035
2000-10-24 07:32:55.960,-80.084,-56.256,618.34,2.059,0.289,3.083,60.826,60.826,91.69,0,0,1440.0,0.035
2000-10-27 05:56:00.100,-61.885,-56.262,607.408,2.081,0.263,2.149,61.729,61.729,82.604,0,0,1760.0,0.034
2000-11-21 19:53:28.240,29.331,-35.124,526.567,2.042,0.235,21.242,69.435,69.435,93.3,1,0,1120.0,0.036
2000-12-01 22:57:14.740,-32.98,-50.936,512.748,2.089,0.231,19.951,66.879,66.879,92.383,1,0,2112.0,0.034
2000-12-05 18:01:09.500,29.99,-40.407,508.743,2.332,0.242,19.24,69.336,69.336,92.959,1,0,164.0,0.025
2000-12-08 17:54:39.440,23.511,-31.894,505.369,1.887,0.229,18.96,70.19,70.19,93.019,1,0,880.0,0.046
2000-12-08 17:55:24.480,23.918,-34.719,507.05,2.011,0.229,18.92,70.382,70.382,92.885,1,0,2016.0,0.038
2000-12-17 16:06:48.420,33.116,-36.662,523.515,2.128,0.242,17.679,68.876,68.876,92.796,1,0,1568.0,0.032
2000-12-23 03:38:35.740,16.23,-37.169,638.335,2.125,0.214,3.903,67.667,67.667,91.778,1,0,5248.0,0.032
2000-12-30 15:46:21.720,11.935,-38.636,569.827,2.164,0.216,15.818,69.149,69.149,92.952,1,0,976.0,0.031
2001-02-08 21:17:24.440,13.722,-34.707,514.424,1.985,0.22,21.172,70.177,70.177,86.517,1,0,1440.0,0.039
2001-02-28 07:11:45.840,16.021,-31.238,557.726,1.856,0.22,7.576,68.669,68.669,88.576,1,0,3264.0,0.048
2001-03-24 07:49:43.160,-36.971,-52.849,515.369,2.124,0.238,4.655,66.216,66.216,88.211,1,0,392.0,0.032
2001-03-25 02:56:35.780,31.101,-42.011,508.16,2.437,0.246,3.983,68.949,68.949,88.017,1,0,1568.0,0.021
2001-04-04 02:25:29.020,16.161,-32.947,514.309,1.918,0.222,2.853,70.021,70.021,88.939,1,0,3392.0,0.043
2001-04-08 00:39:07.780,36.239,-39.909,533.231,2.333,0.252,2.227,67.762,67.762,67.181,1,1,312.0,0.024
